listing_id,lat,lon
688583,34.08975942190708,-118.26803863441286
692712,33.99436,-118.47841
693634,33.98435,-118.42873
693919,34.17607,-118.37483
696061,33.99254,-118.47777
696078,33.99266,-118.47685
738178,34.17893,-118.13366
739143,34.08282,-118.35294
535498,34.02163,-118.45105
538568,34.07937,-118.26531
540451,33.99761,-118.41768
552216,34.02707,-118.48176
555979,34.05536,-118.43194
557734,33.85408,-118.39836
561624,34.04454,-118.88669
561638,34.04432,-118.8862
739983,34.08025,-118.5981
743374,34.05249,-118.39533
745011,34.17056,-118.36234
746115,34.09872,-118.372
697178,34.0962,-118.61714
700683,34.00288,-118.44749
704844,34.1646,-118.51952
707205,33.97886,-118.03569
710420,34.06791,-118.34731
713490,34.07783,-118.2766
719115,34.21665,-118.443
720051,34.0423,-118.35986
721679,34.07102,-118.26537
722233,33.97581,-118.46136
747328,34.0122,-118.46316
749702,34.09119,-118.43816
564102,34.00383,-118.46579
565733,34.11411,-118.31521
565836,33.99263,-118.46499
565873,33.98501,-118.46812
566016,34.1239814,-118.3775658
570747,34.04228,-118.90101
571242,34.16675,-118.11573
571586,34.14731,-118.38454
573036,34.09638,-118.33257
752388,33.98218,-118.4703
755565,33.99849,-118.43987
755837,34.10813,-118.34098
760543,34.05881,-118.4252
761629,34.00961,-118.40798
727908,34.10611,-118.35503
728613,34.08798,-118.38205
729486,33.95375,-118.43756
729630,34.15642,-118.73423
730669,34.10654,-118.36747
854258,34.17753,-118.13531
854589,34.02778,-118.36516
860446,34.02715,-118.49267
577436,34.0785,-118.41364
577969,34.11431,-118.42465
578100,34.00758,-118.43713
579927,33.98185,-118.46691
584489,34.12602,-118.65684
584724,34.08507,-118.3697
586709,34.09322,-118.25024
978823,33.78985,-118.2037
981012,34.05399,-118.35713
761630,34.00952,-118.40946
766813,34.08646,-118.25516
770046,34.09351,-118.32837
862186,34.19134,-118.52282
868801,34.01099,-118.47314
869189,34.20465,-118.43063
869587,33.8733,-118.37391
872348,34.09906,-118.59798
873046,34.07137,-118.34399
873218,34.17075,-118.6194
882158,34.03424,-118.3732
882333,34.0869,-118.34993
771025,34.04863,-118.25006
983537,34.08085,-118.35932
984743,34.12698085010378,-118.3216322433344
990385,34.04827,-118.23603
990565,34.00075671616906,-118.43214044089122
994791,34.02517,-118.42694
997978,34.10367,-118.62536
1003048,34.1598,-118.14271
1006774,34.04133,-118.43626
1006850,34.02761,-118.40958
776555,33.79112,-118.32483
776941,33.99638,-118.44785
781313,34.16283,-118.13643
883681,34.0546,-118.17869
884715,34.042051671813304,-118.51315327777152
888863,34.08867,-118.24945
890924,34.18278,-118.36692
893506,34.07695,-118.20819
893786,33.98868942260742,-118.46741485595705
895309,34.15816,-118.1414
898252,34.21181,-118.16425
781722,34.09408,-118.35536
783158,34.10429,-118.31237
1008814,34.09281,-118.37074
1012454,34.108788,-118.339195
1014088,34.08282,-118.35294
1014540,34.12204,-118.18361
1019417,34.11611,-118.32357
1021820,33.98835,-118.47015
1023702,34.01435,-118.39237
1025111,34.57101,-118.13765
1025161,34.060768127441406,-118.3476104736328
787872,34.03672,-118.3434
789243,34.06102,-118.29926
797642,34.04827,-118.23603
1027368,33.82317,-118.38885
1036039,34.02748,-118.49319
1036437,34.02788,-118.49326
1039000,34.09475,-118.37055
1040399,34.09958,-118.28433
1041616,34.07428,-118.38686
1042282,34.14327,-118.10633
1042878,34.00868,-118.45281
1043146,34.09806823730469,-118.37297058105467
797694,34.04827,-118.23603
797923,33.84515,-118.1563
801336,34.00236,-118.47622
899909,34.04935,-118.23554
900567,34.02675,-118.40067
